"Niveau 1";"Niveau 2";"Niveau 3";"Niveau 4";"Niveau 5";"Niveau 6";"Niveau 7";"Niveau 8";"Niveau 9";"Priorité";"Progression";"Date de début";"Échéance";"Durée (jours)";Effort (jours);"Jalon";"Ressources";
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97E";"97E Recours contre les décisions des bureaux d'aide juridictionnelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97F";"97F Recours contre les décisions des organismes chargés de l'établissement des listes d'experts";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97G";"97G Demande relative à l'immatriculation au registre du commerce et des sociétés";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97H";"97H Recours contre les décisions de l'autorité de la concurrence";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97J";"97J Contestation concernant le montant et le recouvrement des honoraires d'avocats";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97K";"97K Actions disciplinaires exercées contre les notaires";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97L";"97L Actions disciplinaires exercées contre les huissiers";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97M";"97M Actions disciplinaires exercées contre les avocats au Conseil et à la Cour de cassation";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97N";"97N Actions disciplinaires exercées contre les greffiers des tribunaux de commerce";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97O";"97O Actions disciplinaires exercées contre les commissaires-priseurs judiciaires";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97P";"97P Recours contre certaines décisions du rapporteur général de l'autorité de la concurrence";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Relations avec les personnes publiques";"97 Recours et actions contre les décisions rendues par certains organismes";"97Z";"97Z Recours et actions exercés contre les décisions d'autres personnes publiques";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Elections";"94 Elections politiques et référendum";"94A";"94A Contestations des décisions de la commission administrative ayant dressé la liste électorale, concernant l'inscription ou la radiation d'un électeur";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Elections";"94 Elections politiques et référendum";"94B";"94B Contestations des décisions de la commission administrative concernant l'inscription d'un électeur sur une liste alors que celui-ci était sur plusieurs listes";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Elections";"94 Elections politiques et référendum";"94C";"94C Demandes d'inscription sur les listes électorales en dehors des périodes de révision";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Elections";"94 Elections politiques et référendum";"94D";"94D Demande formée en référé aux fins de faire cesser la diffusion en ligne de fausses informations de nature à altérer la sincérité du scrutin";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Elections";"94 Elections politiques et référendum";"94Z";"94Z Autres demandes en matière d'élections politiques ou de référendum";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Elections";"95 Elections à certains organismes";"95A";"95A Contestations relatives aux inscriptions et radiations sur les listes électorales des membres des tribunaux et chambres de commerce ou des chambres des métiers";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Elections";"95 Elections à certains organismes";"95B";"95B Contestations relatives aux inscriptions et radiations sur les listes électorales des membres assesseurs des tribunaux paritaires de baux ruraux ou des membres des chambres d'agriculture";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.17. Autres civil NS";"Elections";"95 Elections à certains organismes";"95C";"95C Contestations en matière d'élections concernant d'autres organismes";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.1. Contentieux général < 10.000 €";;;;;;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16B";"16B Demande d'ouverture d'un régime de protection sans autre indication";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16C";"16C Demande d'ouverture d'une tutelle - majeurs protégés -";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16D";"16D Demande d'ouverture d'une curatelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16E";"16E Demande de conversion de tutelle en curatelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16F";"16F Demande de conversion de curatelle en tutelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16H";"16H Demande d'ouverture d'une mesure d'accompagnement judiciaire";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16J";"16J Demande de placement sous sauvegarde de justice - mesure autonome -";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16K";"16K Demande de versement direct des prestations sociales au bailleur -contrat d'accompagnement social personnalisé-";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16M";"16M Contestation de la mise en oeuvre ou de l'exécution d'un mandat de protection future";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16N";"16N Demande d'autorisation d'accomplir un acte dans le cadre d'un mandat de protection future";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16P";"16P Demande de conversion d'une tutelle en habilitation familiale";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16Q";"16Q Demande de conversion d'une curatelle en habilitation familiale";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"16 Majeurs protégés : ouverture d'un régime de protection";"16X";"16X Majeurs protégés : ouverture d'un régime de protection- nature d'affaire indéterminée";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17A";"17A Recours contre une décision relative à la gestion des biens d'un majeur protégé";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17B";"17B Recours contre une décision relative à la désignation ou à la révocation d'un mandataire du majeur placé sous sauvegarde de justice";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17C";"17C Recours contre une décision relative à une demande d'autorisation supplétive d'un acte formée par un majeur en curatelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17D";"17D Demande tendant à modifier l'étendue de la curatelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17E";"17E Demande tendant à modifier l'étendue de la tutelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17F";"17F Recours exercé à l'encontre d'une décision d'un organe tutélaire - majeurs protégés -";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17I";"17I Demande de modification de l'étendue de la mesure d'accompagnement judiciaire";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17J";"17J Demande de renouvellement de la mesure d'accompagnement judiciaire";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17K";"17K Demande de renouvellement de la mesure de tutelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17L";"17L Demande de renouvellement de la mesure de curatelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17M";"17M Demande de renouvellement de la mesure de sauvegarde de justice";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17N";"17N Demande de changement de représentant légal";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17R";"17R Recours contre une décision relative à la personne protégée";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17S";"17S Recours contre une décision relative aux biens d'une personne protégé";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17T";"17T Demande de prorogation de la durée du renouvellement de la mesure";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"17 Majeurs protégés : fonctionnement des régimes de protection";"17X";"17X Majeurs protégés : fonctionnement des régimes de protection - nature d'affaire indéterminée";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"18 Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture";"18A";"18A Demande de mainlevée d'une tutelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"18 Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture";"18B";"18B Demande de mainlevée d'une curatelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"18 Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture";"18C";"18C Appel relatif à la mainlevée d'une mesure en faveur d'un jeune majeur";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"18 Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture";"18E";"18E Demande de mainlevée d'une mesure d'accompagnement judiciaire";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"18 Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture";"18F";"18F Demande de mainlevée de la mesure de sauvegarde de justice";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"18 Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture";"18G";"18G Demande de mainlevée du versement direct des prestations sociales au bailleur -contrat d'accompagnement social personnalisé-";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"18 Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture";"18X";"18X Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture - nature d'afffaire indéterminée";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Mesures de protection";"18 Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture";"18Z";"18Z Autres demandes relatives à la clôture des régimes de protection";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Habilitations familiales";"16 Majeurs protégés : ouverture d'un régime de protection";"16O";"16O Demande aux fins de désignation d'une personne habilitée";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Habilitations familiales";"16 Majeurs protégés : ouverture d'un régime de protection";"16R";"16R Demande de conversion d'une habilitation familiale en tutelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Habilitations familiales";"16 Majeurs protégés : ouverture d'un régime de protection";"16S";"16S Demande de conversion d'une habilitation familiale en curatelle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Habilitations familiales";"17 Majeurs protégés : fonctionnement des régimes de protection";"17O";"17O Demande tendant à modifier l'étendue de l'habilitation familiale";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Habilitations familiales";"17 Majeurs protégés : fonctionnement des régimes de protection";"17P";"17P Demande de renouvellement de l'habilitation familiale";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Habilitations familiales";"17 Majeurs protégés : fonctionnement des régimes de protection";"17Q";"17Q Demande de changement de représentant légal dans le cadre d'une habilitation familiale";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.2. Protection des majeurs";"Habilitations familiales";"18 Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture";"18H";"18H Demande de mainlevée de l'habilitation familiale";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Contestation des mesures imposées (plan)";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48C";"48C Contestation des mesures imposées par la commission de surendettement des particuliers";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Requêtes";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48F";"48F Demande postérieure à l'établissement d'un plan de redressement";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Requêtes";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48M";"48M Demande d'autorisation d'accomplir l'un des actes mentionnés à l'article L. 722-5 C. consom.";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Requêtes";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48O";"48O Demande aux fins de suspension des mesures d'expulsion du logement du débiteur";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Requêtes";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48P";"48P Demande du débiteur tendant à autoriser à aliéner un bien";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Requêtes";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48Q";"48P Demande du débiteur tendant à autoriser à aliéner un bien";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48A";"48A Recours contre les décisions statuant sur la recevabilité prononcées par les commissions de surendettement des particuliers";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48B";"48B Demande de vérification de la validité des créances, des titres qui les constatent et du montant des sommes réclamées";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48D";"48D Demande relative à la procédure collective applicable aux débiteurs civils spécifique à l'Alsace-Moselle";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48E";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48H";"48H Recours contre les décisions d'orientation du dossier prononcées par la commission de surendettement des particuliers";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48J";"48J Contestation de la décision de la commission imposant un rétablissement personnel sans liquidation judiciaire";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48L";"48L Demande d'annulation d'un acte ou d'un paiement par la commission de surendettement";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48N";"48N Recours contre la décision de déchéance du bénéfice de la procédure de traitement du surendettement";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48X";"48X Surendettement des particuliers et faillite civile- nature d'affaire indéterminée";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Autres contestations";"Contentieux de l’inscription au FICP";;;;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Rétablissement personnel";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48G";"48G Demande d'ouverture de la procédure de rétablissement personnel (avec liquidation judiciaire à compter du 1er novembre 2010)";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Rétablissement personnel";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48J";"48J Contestation de la décision de la commission imposant un rétablissement personnel sans liquidation judiciaire";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Rétablissement personnel";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48K";"48K Demande de résolution du plan pris dans le cadre d'une procédure de rétablissement personnel";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.3. Surendettement des particuliers";"Rétablissement personnel";"48 Surendettement des particuliers, faillite civile et rétablissement personnel";"48R";"48R Demande de relevé de forclusion de déclaration de créances";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux de l’impayé locatif et de l’expulsion";"51 Baux d'habitation et baux professionnels";"51A";"51A Demande en paiement des loyers et des charges et/ou tendant à faire prononcer ou constater la résiliation pour défaut de paiement ou défaut d'assurance et ordonner l'expulsion";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux de l’impayé locatif et de l’expulsion";"51 Baux d'habitation et baux professionnels";"51B";"51B Demande tendant à l'exécution des autres obligations du locataire et/ou tendant à faire prononcer la résiliation pour inexécution de ces obligations et ordonner l'expulsion";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux de l’impayé locatif et de l’expulsion";"51 Baux d'habitation et baux professionnels";"51C";"51C Demande du bailleur tendant à faire constater la validité du congé et à ordonner l'expulsion";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux de l’impayé locatif et de l’expulsion";"51 Baux d'habitation et baux professionnels";"51D";"51D Demande du locataire ou de l'ancien locataire tendant au maintien dans les lieux";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51E";"51E Demande en dommages-intérêts formée par le bailleur en fin de bail en raison des dégradations ou des pertes imputables au locataire";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51F";"51F Demande du locataire tendant à être autorisé d'exécuter des travaux ou à faire exécuter des travaux à la charge du bailleur";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51G";"51G Demande du locataire tendant à la diminution du loyer ou des charges, et/ou à la résiliation du bail, et/ou à des dommages-intérêts, en raison de troubles de jouissance";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51H";"51H Demande du locataire en fin de bail en restitution du dépôt de garantie et/ou tendant au paiement d'une indemnité pour amélioration des lieux loués";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51I";"51I Demande tendant à la fixation judiciaire du montant du loyer";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51J";"51J Demande du bailleur tendant à faire constater la résiliation du bail pour abandon du domicile par le locataire";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51K";"51K Demande du locataire tendant à la diminution du loyer en raison de l'absence de certaines mentions ou de la présence de mentions erronées dans le contrat de location";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51L";"51L Demande du locataire tendant à la diminution du loyer lorsque son montant est supérieur au loyer de référence majoré";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51M";"51M Demande du bailleur tendant à la réévaluation du loyer lorsque son montant est inférieur au loyer de référence minoré";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Bail et logement";"Contentieux du bail";"51 Baux d'habitation et baux professionnels";"51Z";"51Z Autres demandes relatives à un bail d'habitation ou à un bail professionnel";;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Crédit à la consommation";"53 Prêt d'argent, crédit-bail (ou leasing), cautionnement";"53A";"53A Prêt - Demande en nullité du contrat ou d'une clause du contrat";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Crédit à la consommation";"53 Prêt d'argent, crédit-bail (ou leasing), cautionnement";"53B";"53B Prêt - Demande en remboursement du prêt";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Crédit à la consommation";"53 Prêt d'argent, crédit-bail (ou leasing), cautionnement";"53D";"53D Autres demandes relatives au prêt";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Crédit à la consommation";"53 Prêt d'argent, crédit-bail (ou leasing), cautionnement";"53E";"53E Crédit-bail ou leasing - Demande en nullité du contrat ou d'une clause du contrat";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Crédit à la consommation";"53 Prêt d'argent, crédit-bail (ou leasing), cautionnement";"53F";"53F Crédit-bail ou leasing - Demande en paiement des loyers et/ou en résiliation du crédit-bail";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Crédit à la consommation";"53 Prêt d'argent, crédit-bail (ou leasing), cautionnement";"53H";"53H Autres demandes relatives au crédit-bail";;;;;;;;;;
"Contentieux civils et sociaux";"Siège spécialisé";"3. JCP";"3.4. Hors surendettement";"Crédit à la consommation";"53 Prêt d'argent, crédit-bail (ou leasing), cautionnement";"53I";"53I Cautionnement - Demande en paiement formée contre la caution seule";;;;;;;;;;
